Info_protein_id,folder,Info_organism_id
1034581387,Folder01,9606
1034581637,Folder01,9606
1034582207,Folder01,9606
1034582225,Folder01,9606
1034582296,Folder01,9606
1034582379,Folder01,9606
1034582524,Folder01,9606
1034583704,Folder01,9606
1034584319,Folder01,9606
1034584334,Folder01,9606
1034584735,Folder01,9606
1034584808,Folder01,9606
1034585129,Folder01,9606
1034586339,Folder01,9606
1034586343,Folder01,9606
1034586516,Folder01,9606
1034586597,Folder01,9606
1034586601,Folder01,9606
1034587283,Folder01,9606
1034587377,Folder01,9606
1034587548,Folder01,9606
1034587686,Folder01,9606
1034587695,Folder01,9606
1034588347,Folder01,9606
1034588599,Folder01,9606
1034589650,Folder01,9606
1034589925,Folder01,9606
1034590124,Folder01,9606
1034590149,Folder01,9606
1034590270,Folder01,9606
1034590540,Folder01,9606
1034590945,Folder01,9606
1034590952,Folder01,9606
1034591070,Folder01,9606
1034591093,Folder01,9606
1034591346,Folder01,9606
1034591380,Folder02,9606
1034591392,Folder02,9606
1034591409,Folder02,9606
1034591423,Folder02,9606
1034591434,Folder02,9606
1034591546,Folder02,9606
1034591751,Folder02,9606
1034592068,Folder02,9606
1034592233,Folder02,9606
1034592249,Folder02,9606
1034592307,Folder02,9606
1034592379,Folder02,9606
1034593409,Folder02,9606
1034593437,Folder02,9606
1034593444,Folder02,9606
1034593586,Folder02,9606
1034593776,Folder02,9606
1034593837,Folder02,9606
1034593907,Folder02,9606
1034593931,Folder02,9606
1034593933,Folder02,9606
1034594077,Folder02,9606
1034594282,Folder02,9606
1034594320,Folder02,9606
1034594393,Folder02,9606
1034594398,Folder02,9606
1034594450,Folder02,9606
1034594466,Folder02,9606
1034594508,Folder02,9606
1034594519,Folder02,9606
1034594649,Folder02,9606
1034594725,Folder02,9606
1034595006,Folder02,9606
1034595231,Folder02,9606
1034595315,Folder02,9606
1034595526,Folder02,9606
1034595539,Folder02,9606
1034595612,Folder02,9606
1034595651,Folder02,9606
1034596301,Folder02,9606
1034596371,Folder02,9606
1034596752,Folder02,9606
1034597737,Folder02,9606
1034598057,Folder02,9606
1034598175,Folder02,9606
1034598186,Folder02,9606
1034598315,Folder02,9606
1034598329,Folder02,9606
1034598339,Folder02,9606
1034598412,Folder02,9606
1034598560,Folder02,9606
1034598569,Folder02,9606
1034598633,Folder02,9606
1034598891,Folder02,9606
1034599058,Folder02,9606
1034599068,Folder02,9606
1034599233,Folder02,9606
1034599404,Folder02,9606
1034599510,Folder02,9606
1034599643,Folder02,9606
1034599664,Folder02,9606
1034599986,Folder02,9606
1034600055,Folder02,9606
1034600598,Folder02,9606
1034600652,Folder02,9606
1034600823,Folder02,9606
1034601381,Folder02,9606
1034601554,Folder02,9606
1034601651,Folder02,9606
1034601655,Folder02,9606
1034601728,Folder02,9606
1034601731,Folder02,9606
1034601995,Folder02,9606
1034602322,Folder02,9606
1034602405,Folder02,9606
1034603448,Folder02,9606
1034603629,Folder02,9606
1034603725,Folder02,9606
1034603820,Folder02,9606
1034604008,Folder02,9606
1034604103,Folder02,9606
1034604236,Folder02,9606
1034604294,Folder02,9606
1034604508,Folder02,9606
1034604813,Folder02,9606
1034604880,Folder02,9606
1034605632,Folder02,9606
1034605940,Folder02,9606
1034606053,Folder02,9606
1034606328,Folder02,9606
1034606507,Folder02,9606
1034607400,Folder02,9606
1034607505,Folder02,9606
1034607714,Folder02,9606
1034607735,Folder02,9606
1034607988,Folder02,9606
1034608024,Folder02,9606
1034608576,Folder02,9606
1034608610,Folder02,9606
1034608661,Folder02,9606
1034608697,Folder02,9606
1034608750,Folder02,9606
1034608802,Folder02,9606
1034608894,Folder02,9606
1034608954,Folder02,9606
1034608999,Folder02,9606
1034609149,Folder02,9606
1034609178,Folder02,9606
1034609320,Folder02,9606
1034609501,Folder02,9606
1034609621,Folder02,9606
1034609680,Folder02,9606
1034609710,Folder02,9606
1034609819,Folder02,9606
1034609929,Folder02,9606
1034610066,Folder02,9606
1034610157,Folder02,9606
1034610167,Folder02,9606
1034610284,Folder02,9606
1034610292,Folder02,9606
1034611032,Folder02,9606
1034611384,Folder02,9606
1034611404,Folder02,9606
1034611424,Folder02,9606
1034611467,Folder02,9606
1034611490,Folder02,9606
1034611606,Folder02,9606
1034611879,Folder02,9606
1034611932,Folder02,9606
1034612007,Folder02,9606
1034612179,Folder02,9606
1034612208,Folder02,9606
1034612222,Folder02,9606
1034612282,Folder02,9606
1034612305,Folder02,9606
1034612311,Folder02,9606
1034612731,Folder02,9606
1034612842,Folder02,9606
1034612912,Folder02,9606
1034612966,Folder02,9606
1034613051,Folder02,9606
1034613345,Folder02,9606
1034613623,Folder02,9606
1034613716,Folder02,9606
1034613882,Folder02,9606
1034613927,Folder02,9606
1034613958,Folder02,9606
1034613960,Folder02,9606
1034614151,Folder02,9606
1034614212,Folder02,9606
1034614297,Folder02,9606
1034614303,Folder02,9606
1034614433,Folder02,9606
1034614584,Folder02,9606
1034614643,Folder02,9606
1034614755,Folder02,9606
1034614936,Folder02,9606
1034615061,Folder02,9606
1034615254,Folder02,9606
1034615260,Folder02,9606
1034615333,Folder02,9606
1034615431,Folder02,9606
1034615439,Folder02,9606
1034615499,Folder02,9606
1034615835,Folder02,9606
1034615901,Folder02,9606
1034616314,Folder02,9606
1034616359,Folder02,9606
1034616788,Folder02,9606
1034616846,Folder02,9606
1034616888,Folder02,9606
1034617190,Folder02,9606
1034617192,Folder02,9606
1034617509,Folder02,9606
1034617781,Folder02,9606
1034622671,Folder02,9606
1034622801,Folder02,9606
1034624524,Folder02,9606
1034624559,Folder02,9606
1034624969,Folder02,9606
1034624975,Folder02,9606
1034625097,Folder02,9606
1034625123,Folder02,9606
1034625141,Folder02,9606
1034625265,Folder02,9606
1034625561,Folder02,9606
1034625849,Folder02,9606
1034625881,Folder02,9606
1034626005,Folder02,9606
1034627297,Folder02,9606
1034627724,Folder02,9606
1034628100,Folder02,9606
1034628619,Folder02,9606
1034628922,Folder02,9606
1034629306,Folder02,9606
1034629326,Folder02,9606
1034629364,Folder02,9606
1034629376,Folder02,9606
1034629556,Folder02,9606
1034630766,Folder02,9606
1034631092,Folder02,9606
1034631117,Folder02,9606
1034631122,Folder02,9606
1034631153,Folder02,9606
1034631225,Folder02,9606
1034631272,Folder02,9606
1034631304,Folder02,9606
1034631309,Folder02,9606
1034631321,Folder02,9606
1034631352,Folder02,9606
1034631636,Folder02,9606
1034631726,Folder02,9606
1034631874,Folder02,9606
1034631893,Folder02,9606
1034631903,Folder02,9606
1034631956,Folder02,9606
1034632061,Folder02,9606
1034632206,Folder02,9606
1034632481,Folder02,9606
1034632487,Folder02,9606
1034632491,Folder02,9606
1034632633,Folder02,9606
1034632729,Folder02,9606
1034633160,Folder02,9606
1034633201,Folder02,9606
1034633482,Folder02,9606
1034633660,Folder02,9606
1034633834,Folder02,9606
1034634342,Folder02,9606
1034634757,Folder02,9606
1034634894,Folder02,9606
1034634925,Folder02,9606
1034635021,Folder02,9606
1034635033,Folder02,9606
1034635189,Folder02,9606
1034635264,Folder02,9606
1034635318,Folder02,9606
1034635472,Folder02,9606
1034635523,Folder02,9606
1034636051,Folder02,9606
1034636168,Folder02,9606
1034636256,Folder02,9606
1034636293,Folder02,9606
1034636497,Folder02,9606
1034636640,Folder02,9606
1034638103,Folder02,9606
1034638369,Folder02,9606
1034638418,Folder02,9606
1034639155,Folder02,9606
1034639223,Folder02,9606
1034639266,Folder03,9606
1034639304,Folder03,9606
1034639507,Folder03,9606
1034639629,Folder03,9606
1034639806,Folder03,9606
1034639870,Folder03,9606
1034640219,Folder03,9606
1034640229,Folder03,9606
1034640402,Folder03,9606
1034640517,Folder03,9606
1034641016,Folder03,9606
1034641126,Folder03,9606
1034643397,Folder03,9606
1034643513,Folder03,9606
1034643643,Folder03,9606
1034644131,Folder03,9606
1034644191,Folder03,9606
1034644261,Folder03,9606
1034644362,Folder03,9606
1034644550,Folder03,9606
1034644762,Folder03,9606
1034645162,Folder03,9606
1034645244,Folder03,9606
1034645729,Folder03,9606
1034645833,Folder03,9606
1034645919,Folder03,9606
1034646174,Folder03,9606
1034646309,Folder03,9606
1034646423,Folder03,9606
1034646495,Folder03,9606
1034646499,Folder03,9606
1034646670,Folder03,9606
1034646679,Folder03,9606
1034646907,Folder03,9606
1034648535,Folder03,9606
1034648747,Folder03,9606
1034648864,Folder03,9606
1034648866,Folder03,9606
1034649034,Folder03,9606
1034649096,Folder03,9606
1034649379,Folder03,9606
1034649470,Folder03,9606
1034649540,Folder03,9606
1034649710,Folder03,9606
1034650062,Folder03,9606
1034650215,Folder03,9606
1034650623,Folder03,9606
1034650679,Folder03,9606
1034650687,Folder03,9606
1034650788,Folder03,9606
1034651010,Folder03,9606
1034651029,Folder03,9606
1034651173,Folder03,9606
1034651186,Folder03,9606
1034651216,Folder03,9606
1034651269,Folder03,9606
1034651309,Folder03,9606
1034651489,Folder03,9606
1034651544,Folder03,9606
1034651701,Folder03,9606
1034651893,Folder03,9606
1034652299,Folder03,9606
1034654098,Folder03,9606
1034654317,Folder03,9606
1034654487,Folder03,9606
1034654665,Folder03,9606
1034654963,Folder03,9606
1034655034,Folder03,9606
1034655073,Folder03,9606
1034655200,Folder03,9606
1034655262,Folder03,9606
1034655807,Folder03,9606
1034655893,Folder03,9606
1034656118,Folder03,9606
1034656350,Folder03,9606
1034656361,Folder03,9606
1034656555,Folder03,9606
1034656558,Folder03,9606
1034656833,Folder03,9606
1034657003,Folder03,9606
1034657237,Folder03,9606
1034657241,Folder03,9606
1034657593,Folder03,9606
1034659006,Folder03,9606
1034659450,Folder03,9606
1034659633,Folder03,9606
1034659897,Folder03,9606
1034660080,Folder03,9606
1034660513,Folder03,9606
1034660548,Folder03,9606
1034660689,Folder03,9606
1034661185,Folder03,9606
1034661399,Folder03,9606
1034661519,Folder03,9606
1034661553,Folder03,9606
1034661569,Folder03,9606
1034661708,Folder03,9606
1034661881,Folder03,9606
1034661986,Folder03,9606
1034661990,Folder03,9606
1034662006,Folder03,9606
1034663513,Folder03,9606
1034663808,Folder03,9606
1034663903,Folder03,9606
1034664051,Folder03,9606
1034664654,Folder03,9606
1034664657,Folder03,9606
1034664767,Folder03,9606
1034664771,Folder03,9606
1034665116,Folder03,9606
1034665364,Folder03,9606
1034670322,Folder03,9606
1034670687,Folder03,9606
1034670714,Folder03,9606
1034670895,Folder03,9606
1034671540,Folder03,9606
1034671576,Folder03,9606
1034671695,Folder03,9606
1034671743,Folder03,9606
1034673372,Folder03,9606
1034673555,Folder03,9606
1034673708,Folder03,9606
1034673714,Folder03,9606
1034673817,Folder03,9606
1034673893,Folder03,9606
1034673928,Folder03,9606
1034674820,Folder03,9606
1034674870,Folder03,9606
1034675132,Folder03,9606
1034675580,Folder03,9606
1034675602,Folder03,9606
1034676440,Folder03,9606
1035664366,Folder03,9606
1036222231,Folder03,9606
1039151431,Folder03,9606
1040735422,Folder03,9606
1041817940,Folder03,9606
1042082,Folder03,9606
1043631282,Folder03,9606
10438473,Folder03,9606
10440347,Folder03,9606
10440351,Folder03,9606
10440371,Folder03,9606
10440488,Folder03,9606
10440500,Folder03,9606
10443224,Folder03,9606
1045860933,Folder03,9606
1045961268,Folder03,9606
1050193296,Folder03,9606
10503935,Folder03,9606
1050767373,Folder03,9606
1050811775,Folder03,9606
1050811779,Folder03,9606
105131,Folder03,9606
10518338,Folder03,9606
1052786388,Folder03,9606
